date,Fund_A,Fund_B,Fund_C
2016-03-23,11053844,653768468,298223428
2016-03-24,11031447,653768468,297761395
2016-03-25,11031447,653768468,297761395
2016-03-28,11029652,653768468,294230462
2016-03-29,11029652,653768468,296870829
2016-03-30,11223916,653768468,300460731
2016-03-31,11286513,717159741,299822166
2016-04-01,11270377,717159741,302060491
2016-04-04,11261352,717159741,300339706
2016-04-05,11218876,717159741,297728700
2016-04-06,11248171,717159741,303604537
2016-04-07,11201986,717159741,298747327
2016-04-08,11229892,717159741,299087068
2016-04-11,11236663,717159741,297648631
2016-04-12,11286890,717159741,298374774
2016-04-13,11375572,717159741,300648839
2016-04-14,11443561,717159741,302214336
2016-04-15,11452815,717159741,300084483
2016-04-18,11516176,717159741,299745729
2016-04-19,11577310,717159741,300819924
2016-04-20,11603656,717159741,301448496
2016-04-21,11662793,717159741,308910272
2016-04-22,11705492,717159741,306618283
2016-04-25,11663670,717159741,305495302
2016-04-26,11736860,717159741,305456327
2016-04-27,11766869,717159741,304481601
2016-04-28,11693746,717159741,301820372
2016-04-29,11677134,733332777,302004203
2016-05-02,11704621,733332777,305531805
2016-05-03,11614818,733332777,302479488
2016-05-04,11570009,733332777,299916276
2016-05-05,11498287,733332777,300394149
2016-05-06,11549802,733332777,300425332
2016-05-09,11515628,733332777,300530848
2016-05-10,11627486,733332777,304586178
2016-05-11,11604542,733332777,307342127
2016-05-12,11576357,733332777,309766498
2016-05-13,11520996,733332777,306285250
2016-05-16,11544391,733332777,309206069
2016-05-17,11547966,733332777,305871119
2016-05-18,11495642,733332777,306334935
2016-05-19,11432606,733332777,304408300
2016-05-20,11549755,733332777,307541836
2016-05-23,11640558,733332777,307431569
2016-05-24,11765310,733332777,314216386
2016-05-25,11799574,733332777,315866998
2016-05-26,11801652,733332777,318620386
2016-05-27,11858665,733332777,321087634
2016-05-30,11842054,733332777,321087634
2016-05-31,11855327,728042009,322154055
2016-06-01,11886708,728042009,321856796
2016-06-02,11918417,728042009,346585253
2016-06-03,11927762,728042009,345333934
2016-06-06,12022134,728042009,348015586
2016-06-07,12059758,728042009,346488041
2016-06-08,12076742,728042009,348395855
2016-06-09,12031103,728042009,345503594
2016-06-10,11900000,728042009,340423055
2016-06-13,11721241,728042009,337259856
2016-06-14,11626550,728042009,335884067
2016-06-15,11703552,728042009,333961845
2016-06-16,11577692,728042009,334014619
2016-06-17,11642045,728042009,329297913
2016-06-20,11833021,728042009,331457357
2016-06-21,11883028,728042009,332332033
2016-06-22,11851163,728042009,331897169
2016-06-23,11924744,728042009,334461130
2016-06-24,12586532,728042009,320915390
2016-06-27,12534636,728042009,316358901
2016-06-28,12610874,728042009,320761580
2016-06-29,12773008,728042009,321635295
2016-06-30,12942195,707032723,325269759
2016-07-01,13016392,707032723,327283831
2016-07-04,13009706,707032723,327283831
2016-07-05,12846860,707032723,336079074
2016-07-06,12788592,707032723,342861902
2016-07-07,12862722,707032723,343099350
2016-07-08,12963630,707032723,332331447
2016-07-11,13196803,707032723,332385776
2016-07-12,13326777,707032723,336529083
2016-07-13,13433579,707032723,338319148
2016-07-14,13425717,707032723,341058412
2016-07-15,13241117,707032723,339648237
2016-07-18,13244233,707032723,337149188
2016-07-19,13228811,707032723,335931371
2016-07-20,13290971,707032723,337809854
2016-07-21,13236419,707032723,337941698
2016-07-22,13182681,707032723,339539457
2016-07-25,13155551,707032723,339105582
2016-07-26,13245825,707032723,339583638
2016-07-27,13274936,707032723,338496175
2016-07-28,13250278,707032723,339750003
2016-07-29,13195695,757988124,341984207
2016-08-01,13228579,757988124,343287547
2016-08-02,13174286,757988124,342786649
2016-08-03,13195390,757988124,345002605
2016-08-04,13201846,757988124,345623265
2016-08-05,13286153,757988124,346823648
2016-08-08,13319616,757988124,345437525
2016-08-09,13330798,757988124,353118288
2016-08-10,13358428,757988124,348620536
2016-08-11,13397964,757988124,350515816
2016-08-12,13440792,757988124,350426596
2016-08-15,13431890,757988124,351289707
2016-08-16,13398502,757988124,350215477
2016-08-17,13785407,757988124,350238255
2016-08-18,13793740,757988124,350650004
2016-08-19,13796982,757988124,350534460
2016-08-22,13826345,757988124,348697425
2016-08-23,13869172,757988124,350111313
2016-08-24,13867984,757988124,348389028
2016-08-25,13873934,757988124,346718192
2016-08-26,13847258,757988124,347146497
2016-08-29,13966135,757988124,348488563
2016-08-30,13976890,757988124,349326872
2016-08-31,13966220,758750805,347955616
2016-09-01,14108918,758750805,348845772
2016-09-02,14149608,758750805,350349175
2016-09-05,14200286,758750805,350349175
2016-09-06,14186715,758750805,349068183
2016-09-07,14242302,758750805,346355894
2016-09-08,14253861,758750805,347488154
2016-09-09,14140114,758750805,339704939
2016-09-12,14157388,758750805,344399048
2016-09-13,14007962,758750805,339785505
2016-09-14,14030434,758750805,340674541
2016-09-15,14203199,758750805,345180599
2016-09-16,14132028,758750805,344799097
2016-09-19,14196445,758750805,344205676
2016-09-20,14175828,758750805,345357126
2016-09-21,14657702,758750805,349464538
2016-09-22,14714219,758750805,350853587
2016-09-23,14852106,758750805,350434323
2016-09-26,14890238,758750805,348127555
2016-09-27,14891539,758750805,351963657
2016-09-28,14972241,758750805,354275576
2016-09-29,14967165,758750805,350928461
2016-09-30,15073727,754143996,354956374
2016-10-03,15086838,754143996,354358605
2016-10-04,15087294,754143996,353893130
2016-10-05,15173539,754143996,354057343
2016-10-06,15312047,754143996,353206256
2016-10-07,15258902,754143996,353126696
2016-10-10,15316318,754143996,363294306
2016-10-11,15353021,754143996,361117810
2016-10-12,15388342,754143996,357385227
2016-10-13,15327235,754143996,357147677
2016-10-14,15346217,754143996,357302835
2016-10-17,15372375,754143996,355989077
2016-10-18,15448624,754143996,358449871
2016-10-19,15521334,754143996,360044271
2016-10-20,15521334,754143996,359569327
2016-10-21,15696968,754143996,362740844
2016-10-24,15878730,754143996,365023190
2016-10-25,15881340,754143996,364040544
2016-10-26,15875246,754143996,365908355
2016-10-27,15968115,754143996,368811720
2016-10-28,16008083,754143996,369173804
2016-10-31,16113161,687426619,370472100
2016-11-01,16235717,687426619,369182125
2016-11-02,16138471,687426619,356473210
2016-11-03,16189600,687426619,357627812
2016-11-04,16234095,687426619,352230086
2016-11-07,16477198,687426619,359922535
2016-11-08,16899247,687426619,356520632
2016-11-09,17024195,687426619,361335757
2016-11-10,17147170,687426619,360017548
2016-11-11,17595374,687426619,360437716
2016-11-14,17803376,687426619,357604952
2016-11-15,18132699,687426619,360634418
2016-11-16,18292179,687426619,361956817
2016-11-17,18761944,687426619,365430806
2016-11-18,19497397,687426619,363926718
2016-11-21,19758410,687426619,367821669
2016-11-22,20454544,687426619,369644807
2016-11-23,20875047,687426619,369150606
2016-11-24,20930545,687426619,369150606
2016-11-25,21412715,687426619,371048352
2016-11-28,21405963,687426619,375328081
2016-11-29,21512262,687426619,377714583
2016-11-30,21791630,710537953,375994028
2016-12-01,21863615,710537953,374683655
2016-12-02,22194605,710537953,374139975
2016-12-05,22537166,710537953,376323802
2016-12-06,22717692,710537953,376169612
2016-12-07,23067487,710537953,377956201
