date,Fund_A,Fund_B,Fund_C
2015-06-12,111.786925084022,108.9118825812,108.598178229957
2015-06-15,110.939761235487,107.985280851184,108.102371666425
2015-06-16,111.258950598051,108.436380291901,108.649661984095
2015-06-17,111.281505359213,108.854170684039,108.856843060221
2015-06-18,111.281505359213,110.155578389087,110.009030124468
2015-06-19,111.276941749973,110.20526982793,109.553835495109
2015-06-22,112.391603310077,110.921558928829,110.298268210316
2015-06-23,112.391603310077,110.921558928829,110.668947344623
2015-06-24,112.628296659201,110.497077590726,109.725582191756
2015-06-25,112.302525167866,110.674088932375,109.831871740929
2015-06-26,112.001765765822,110.02827128175,109.356935318299
2015-06-29,110.325868029273,108.582309892587,107.051196894428
2015-06-30,110.325868029273,107.738698540981,107.461762417189
2015-07-01,111.329774303201,109.033411641818,108.065826423624
2015-07-02,111.335478814776,108.405306881471,108.106721286836
2015-07-03,111.335478814776,108.499329677124,108.106721286836
2015-07-06,111.043846631212,107.911226182482,107.609275927848
2015-07-07,111.043846631212,106.566831927582,108.02903594026
2015-07-08,109.181981817556,106.686127672303,106.19691949497
2015-07-09,109.792276793507,107.453444461242,106.736984199793
2015-07-10,110.817158117664,108.28383742062,108.068141692226
2015-07-13,112.284885062863,109.222329004358,109.348991624375
2015-07-14,112.675161415817,110.1986225516,110.019346100373
2015-07-15,112.922210647436,109.945314355057,109.98052424416
2015-07-16,114.043454336311,110.313415750069,111.054191211468
2015-07-17,114.386953694329,110.014919146243,111.753011332747
2015-07-20,114.298051075578,110.12452725544,112.286283764569
2015-07-21,114.164302219843,109.673437670727,111.942379795894
2015-07-22,114.597669575387,109.74304016555,111.501851951631
2015-07-23,113.717068513019,109.572720458183,110.988423349011
2015-07-24,113.717068513019,108.023858895283,109.914535244138
2015-07-27,111.641328396438,106.127652394873,109.187724016821
2015-07-28,112.017299589614,106.400887631745,110.3805198132
2015-07-29,112.974604392167,107.846853107566,111.029645635214
2015-07-30,113.375236627615,107.999449737098,111.060912285704
2015-07-31,113.314066711222,108.697163717717,110.844968628676
2015-08-03,113.79456210862,108.138655686514,110.730430921142
2015-08-04,113.980441423947,108.228350706836,110.596151582772
2015-08-05,114.405120369609,109.350549215847,110.886411714893
2015-08-06,113.806234416809,107.916464799371,109.573269638157
2015-08-07,113.263867009482,107.371347562236,109.441431595192
2015-08-10,113.806760987187,109.045364309011,110.916431171386
2015-08-11,113.313978949542,107.992768796576,109.937849159849
2015-08-12,112.41828287188,106.877268103996,109.996081939212
2015-08-13,112.675600224314,108.069068245072,109.782480000702
2015-08-14,113.056661597008,107.873478109133,110.035514824527
2015-08-17,113.519165842485,108.513464854228,110.693875086746
2015-08-18,113.365582838756,108.861653819569,110.347017499927
2015-08-19,112.555981004898,107.23867218152,109.584769300377
2015-08-20,110.850683093377,106.300197291185,107.106118657644
2015-08-21,109.438948123172,103.351390114915,103.765905727148
2015-08-24,107.119757005437,100.630638497052,100.164505855174
2015-08-25,107.119757005437,100.238117997158,99.1324311655753
2015-08-26,109.671077863157,98.3166415201586,103.604393641956
2015-08-27,110.960121953759,102.399524095341,106.279025415632
2015-08-28,111.180754908814,102.704718063354,106.418186603789
2015-08-31,110.981097003987,102.704718063354,105.327034550093
2015-09-01,109.08983201536,100.415148773973,102.590373668396
2015-09-02,110.245566058724,99.7107368472585,104.561029490041
2015-09-03,110.702892362904,102.033616256391,104.472141527189
2015-09-04,109.634217942218,100.561064128907,103.104843125902
2015-09-07,109.591039177747,100.961122149108,103.104843125902
2015-09-08,110.638826309984,101.499546599721,105.709996508501
2015-09-09,110.149554740924,102.502454746312,104.365104621754
2015-09-10,109.67485161688,101.701850521508,105.112310566192
2015-09-11,109.708288830914,101.284068004563,105.675210114796
2015-09-14,109.181630770738,101.569164380224,105.074902727716
2015-09-15,110.020720541247,102.55217310873,106.384203905956
2015-09-16,110.234244797354,104.067730612139,107.244157466857
2015-09-17,110.276633706308,104.619553383861,107.305163851798
2015-09-18,109.753573876496,103.656647800259,105.751118245027
2015-09-21,110.408276280932,103.218766327885,106.127605597393
2015-09-22,109.01207513462,101.252954908418,105.065943371402
2015-09-23,108.92729731651,101.353691582016,105.02328073612
2015-09-24,108.050206722727,99.8389670059388,104.496859654883
2015-09-25,108.580814060186,100.904777076616,104.037903805057
2015-09-28,107.214627420802,97.7649016724856,101.14526029136
2015-09-29,106.79679388905,96.8130310840145,101.051811361362
2015-09-30,107.651154198212,97.333718814855,103.081336806311
2015-10-01,108.216690698759,97.9041011466517,103.393809293712
2015-10-02,108.658483179146,98.3551883969122,104.940305799874
2015-10-05,108.658483179146,101.169980576539,106.512208901113
2015-10-06,109.198393258545,100.054478197471,105.893133541696
2015-10-07,109.604378958649,100.651458741869,106.554298532413
2015-10-08,109.676343566134,100.94779964858,107.030761876253
2015-10-09,109.75725986864,102.344059101591,107.343080220071
2015-10-12,110.111290632611,102.420356626226,107.525820199625
2015-10-13,109.86231064314,102.83814226925,106.924781387989
2015-10-14,109.397963401692,101.766982085037,106.612086531607
2015-10-15,109.926201172701,101.475196456689,108.219232387305
2015-10-16,110.381157910531,103.118083224985,108.583623006763
2015-10-19,110.80645118825,103.263976525653,108.912447980872
2015-10-20,110.147360698033,103.340273752582,108.577112202659
2015-10-21,109.893378290825,102.812895887566,107.56541675295
2015-10-22,111.262461066736,102.344072527384,109.318319932617
2015-10-23,112.565371508517,103.306982410849,111.118096942293
2015-10-26,112.743615554617,103.986963657383,111.50414349726
2015-10-27,111.433771937146,102.685569745793,111.610535514936
2015-10-28,112.656555931938,104.132869522883,112.234537473145
2015-10-29,112.338682995068,104.252170680968,112.139021296358
2015-10-30,111.727422640242,104.474361414199,111.520775236988
2015-11-02,111.990093457533,104.73440660437,112.668336760356
2015-11-03,112.079347123103,105.755873102494,113.288823616432
2015-11-04,112.804346662311,105.298088123037,113.131015581437
2015-11-05,112.762396561855,104.94990085459,113.090337800335
2015-11-06,113.841865673733,105.02619879018,113.198035327681
2015-11-09,112.992507782308,103.973586584394,112.380152666101
2015-11-10,113.335656093508,104.175887529046,112.75480392097
2015-11-11,113.737341469511,104.925462282904,112.578155080627
2015-11-12,112.666209720696,103.60551629741,111.337515107987
2015-11-13,112.789076123658,102.698796825603,109.915596013601
2015-11-16,113.411131169577,101.659591356636,111.275879136496
2015-11-17,114.333068000444,103.726963789694,111.334034283384
2015-11-18,115.092733417702,103.897307706057,113.025086556207
2015-11-19,115.029544981878,104.227757271,112.722127172678
2015-11-20,115.175756001419,104.849183233093,113.37752832844
2015-11-23,115.197608668843,105.07807562569,113.290911337631
2015-11-24,114.738088321673,104.703293572927,113.141310704188
2015-11-25,115.439128912346,105.711349033564,113.216672743141
2015-11-26,115.523818968676,105.940242087654,113.216672743141
2015-11-27,115.813081585991,105.419571445145,113.25252182231
2015-11-30,116.04863403278,105.217273109809,112.651481427746
2015-12-01,116.296297596557,105.635059035762,113.807250769942
2015-12-02,115.811150828239,105.718063005663,112.96095560161
2015-12-03,114.205901273381,104.842494439466,111.037823161249
2015-12-04,114.440839388213,104.240958518805,113.31193649589
2015-12-07,114.279533353479,103.720291070278,112.465123437472
2015-12-08,113.762353558601,103.372099065648,112.282161051526
2015-12-09,113.02638380484,102.793684820927,110.901092403781
2015-12-10,113.204276804022,102.674391411934,111.211594056755
2015-12-11,113.204276804022,101.27815274096,109.076618477952
2015-12-14,112.049420377753,100.055196773244,109.771661406345
2015-12-15,112.449964851522,101.704785741423,110.822023240545
2015-12-16,113.644138526658,101.747792416217,112.423535364757
2015-12-17,113.167416883083,101.747792416217,111.060478561409
2015-12-18,112.44355824621,100.353689200188,109.384577145933
2015-12-21,112.566161364034,99.4781222611342,110.08261752299
2015-12-22,112.765643745401,100.277393865848,110.932808919336
2015-12-23,113.016291207485,101.900394930427,112.017273170816
2015-12-24,113.012517453661,102.375933267228,111.874564946344
2015-12-25,113.012517453661,102.375933267228,111.874564946344
2015-12-28,112.957578619221,101.399612034677,112.02298090624
2015-12-29,113.730145008682,102.414362677739,113.172331085795
2015-12-30,113.490028952652,102.636547106361,112.441556890951
2015-12-31,113.158201902924,101.99658045967,111.297085868346
2016-01-01,113.158201902924,101.99658045967,111.297085868346
2016-01-04,111.360403142288,98.8765839542745,109.280269155798
2016-01-05,111.360403142288,99.3255442238636,109.380085162635
2016-01-06,111.360403142288,98.026278996916,108.178309321833
2016-01-07,108.080396753215,96.5107473861031,105.456028312469
2016-01-08,108.080396753215,95.3952407450275,104.31882390205
2016-01-11,107.132043645683,94.1900222700316,104.173722390775
2016-01-12,108.193258320501,94.1634422662622,105.221310251417
2016-01-13,106.733780976585,93.6449028071672,102.330630934114
2016-01-14,106.915272206131,92.3515552096509,103.958025005454
2016-01-15,105.934359501862,90.897575550932,101.60087089302
2016-01-18,104.514725977292,91.6205471188404,101.60087089302
2016-01-19,105.069116739827,91.9004984838438,101.773583303685
2016-01-20,104.012728959388,88.5338524977554,101.174682766215
2016-01-21,104.118657351084,91.7997395229768,101.444726530117
2016-01-22,105.90504708857,92.6234794953182,103.454426591291
2016-01-25,105.357062931347,92.6167715376401,101.968066516762
2016-01-26,105.684940703793,92.6167715376401,102.895452175825
2016-01-27,105.556457551035,93.536679684511,101.437285943598
2016-01-28,105.737861018802,91.9700995580142,102.238022597132
2016-01-29,107.078070190119,93.4856358202227,104.765802260921
2016-02-01,107.148104039753,94.5382665601757,104.854896660463
2016-02-02,105.961039063666,93.662699674378,102.696043835716
2016-02-03,105.961039063666,93.061150773923,103.048393203719
2016-02-04,105.242797176587,93.631529054991,103.330814807199
2016-02-05,104.240119566573,92.0915288985462,100.37628093726
2016-02-08,103.119490209755,89.4272038850609,98.957525206758
2016-02-09,103.119490209755,89.128723816198,98.7893402609448
2016-02-10,102.511740323613,90.5249577359768,99.3068173962722
2016-02-11,102.044145898619,88.0761013716548,98.7990118048426
2016-02-12,102.263988998257,89.871577545195,100.36493614707
2016-02-15,103.095794546359,91.4182922233617,100.36493614707
2016-02-16,103.567952580593,91.4878797145735,102.182800406392
2016-02-17,103.567952580593,93.8604431810186,104.148114492133
2016-02-18,105.333016221033,93.4856680473981,103.405775270377
2016-02-19,104.770375857113,93.2070616694618,103.691724100899
2016-02-22,105.731893222088,94.6774794712964,105.112720949456
2016-02-23,105.311339077067,94.1323489512504,103.746823005316
2016-02-24,105.514507450579,92.8078229204749,104.011604473874
2016-02-25,106.759582921293,94.082638560988,105.001140009242
2016-02-26,107.54891179866,95.375987857766,104.954895269317
2016-02-29,107.859588274701,95.8448273398742,103.96368011992
2016-03-01,109.353555973106,96.3721978799959,106.781787958224
2016-03-02,109.536539151906,96.4982177259401,106.704182382831
2016-03-03,109.604203435189,97.4181292021569,106.673529311191
2016-03-04,109.484496453993,98.6351817780249,106.606283402386
2016-03-07,109.457553607051,98.6617635817394,106.534821440504
2016-03-08,108.526138510885,97.5640221475967,105.564451380577
2016-03-09,109.146438322412,97.7351503495319,105.935037202348
2016-03-10,108.0563500429,97.2655557827727,105.773032342561
2016-03-11,109.265179924733,99.0795631180466,107.440893644075
2016-03-14,109.345130848363,98.5091879474744,107.267491734299
2016-03-15,108.667961444545,97.6655787800759,107.048579710394
2016-03-16,109.329509262891,98.1344194954919,107.450856220784
2016-03-17,110.265575730077,99.8025405511721,107.842885948074
2016-03-18,110.181500005704,100.20179714627,108.241948380031
2016-03-21,110.416964690915,100.24690346679,108.743832809374
2016-03-22,110.14367470599,100.493568064265,109.011698356654
2016-03-23,110.379227152779,99.7010142723746,108.458159552923
